Iteration,Discriminator Loss,Generator Loss
0,0.700657,0.694206
10,0.226602,1.584808
20,0.026504,3.746002
30,0.029984,4.463159
40,0.230529,3.008762
50,0.498499,1.983471
60,0.645047,2.284986
70,0.824081,2.118091
80,0.961414,1.929392
90,0.799688,1.580948
100,0.965345,1.783102
110,1.243331,1.206191
120,2.117736,4.389280
130,16.398186,0.001665
140,11.945410,0.000000
150,2.025233,1.161813
160,2.585730,7.156651
170,2.405503,0.562694
180,3.309340,9.169144
190,3.339627,8.973043
200,9.208712,6.915809
210,14.150728,0.000000
220,23.045010,0.029814
230,5.113470,10.382963
240,6.211581,10.735195
250,3.237774,4.146121
260,5.674080,11.883869
270,10.997137,0.000000
280,3.789957,1.010924
290,8.382020,20.720161
300,19.874962,4.232679
310,3.293740,3.380952
320,20.643959,0.000000
330,18.518602,0.000000
340,17.988937,6.652746
350,25.192163,0.481184
360,3.367115,0.016623
370,3.901073,0.000005
380,5.445236,0.000000
390,12.993551,0.000000
400,19.543133,0.000001
410,7.241085,0.000043
420,7.951139,0.000000
430,7.217731,0.000002
440,6.104050,0.000017
450,7.367318,0.000030
460,1.017170,0.847551
470,3.049289,0.000012
480,7.571442,24.123169
490,0.524773,8.413910
500,0.182702,5.369926
510,0.003741,14.707220
520,0.024967,34.804501
530,0.157064,0.716847
540,14.169357,0.000826
550,14.309666,0.000006
560,14.216230,0.000000
570,3.472642,0.000009
580,18.562469,0.000002
590,1.756249,6.758102
600,2.213589,0.000000
610,13.015820,0.000003
620,1.696150,4.005642
630,1.996423,4.813929
640,6.043959,0.000022
650,6.655917,0.000122
660,2.139298,0.000064
670,6.578134,4.473827
680,5.373858,5.034276
690,5.249211,4.435640
700,6.284737,2.892198
710,5.716429,3.615842
720,4.432780,0.029077
730,4.786385,0.017493
740,5.488216,0.136764
750,8.203718,0.234277
760,4.459606,0.004895
770,8.890194,9.011082
780,2.511419,8.828295
790,5.563260,3.732838
800,5.262933,3.248667
810,3.698356,4.204257
820,4.531620,3.706366
830,3.011904,4.885966
840,3.771700,3.763780
850,4.443804,3.369277
860,3.791087,3.925256
870,2.333783,0.212884
880,3.119724,0.139816
890,2.112698,0.240246
900,4.621694,0.622872
910,4.420403,0.080042
920,1.448626,4.447612
930,4.132805,0.167046
940,3.356980,9.819407
950,3.082004,5.463117
960,2.792347,3.913653
970,4.426942,2.462708
980,5.111798,1.610589
990,1.675427,0.889772
1000,1.527392,0.334770
1010,2.426089,0.045472
1020,1.999893,0.099666
1030,2.011125,0.163986
1040,1.726110,0.348610
1050,1.416683,0.714912
1060,1.392495,0.794419
1070,1.375217,0.794127
1080,1.351976,0.854005
1090,1.342198,0.758890
1100,1.355617,0.674851
1110,1.342572,0.699150
1120,1.369277,0.619732
1130,1.420521,0.527148
1140,1.371895,0.731490
1150,1.374497,0.644952
1160,1.361470,0.622663
1170,1.347513,0.608703
1180,1.356395,0.842939
1190,1.363848,0.904149
1200,1.314281,0.831203
1210,1.291086,0.792316
1220,1.283664,0.602794
1230,1.282778,0.499163
1240,1.316691,0.518946
1250,1.193104,0.569511
1260,1.226642,0.569594
1270,1.228478,0.565003
1280,1.244020,0.500724
1290,1.221931,0.611771
1300,1.277204,0.584247
1310,1.270613,0.597578
1320,1.297121,0.578122
1330,1.359267,0.667836
1340,1.393162,0.887614
1350,1.361012,0.766799
1360,1.396191,0.625076
1370,1.378531,0.582924
1380,1.354490,0.626868
1390,1.346331,0.587619
1400,1.313614,0.841021
1410,1.312169,0.729318
1420,1.351249,0.610356
1430,1.340160,0.593002
1440,1.368099,0.544275
1450,1.345957,0.595376
1460,1.367571,0.605918
1470,1.340025,0.645366
1480,1.359435,0.619658
1490,1.322112,0.765868
1500,1.338172,0.680403
1510,1.379142,0.634771
1520,1.343630,0.651304
1530,1.333842,0.833442
1540,1.364045,0.622776
1550,1.354762,0.781477
1560,1.358443,0.630196
1570,1.415084,0.687219
1580,1.373421,0.634788
1590,1.382635,0.777193
1600,1.392042,0.908161
1610,1.392991,0.657055
1620,1.369650,0.871474
1630,1.355849,0.707329
1640,1.380720,0.861689
1650,1.375142,0.760101
1660,1.367179,0.781192
1670,1.371181,0.692442
1680,1.358074,0.773498
1690,1.369368,0.641136
1700,1.386631,0.642990
1710,1.350754,0.801030
1720,1.388131,0.613013
1730,1.366176,0.595779
1740,1.377360,0.626388
1750,1.366610,0.628627
1760,1.348702,0.672305
1770,1.325369,0.659100
1780,1.362214,0.630224
1790,1.358745,0.760835
1800,1.357322,0.816975
1810,1.360950,0.823117
1820,1.342698,0.777847
1830,1.351500,0.762642
1840,1.376221,0.831607
1850,1.351883,0.799912
1860,1.367635,0.828302
1870,1.352273,0.636069
1880,1.333885,0.617480
1890,1.346301,0.648329
1900,1.356697,0.637014
1910,1.357855,0.616691
1920,1.366529,0.599547
1930,1.339912,0.644661
1940,1.348698,0.643960
1950,1.343250,0.613304
1960,1.347612,0.626957
1970,1.367491,0.646050
1980,1.320741,0.640019
1990,1.350870,0.649251
2000,1.316741,0.746701
2010,1.322310,0.645611
2020,1.333085,0.598957
2030,1.346945,0.569406
2040,1.304929,0.622857
2050,1.312864,0.605058
2060,1.300199,0.626863
2070,1.333993,0.596486
2080,1.313069,0.609330
2090,1.303348,0.645593
2100,1.345125,0.596049
2110,1.311112,0.652618
2120,1.331151,0.647123
2130,1.356810,0.630963
2140,1.343613,0.621721
2150,1.327809,0.669720
2160,1.343770,0.631033
2170,1.382673,0.637220
2180,1.363698,0.645810
2190,1.366886,0.604268
2200,1.336847,0.645589
2210,1.370119,0.588420
2220,1.357223,0.600842
2230,1.346297,0.604887
2240,1.345383,0.634995
2250,1.343784,0.631333
2260,1.325072,0.678514
2270,1.348616,0.550935
2280,1.328746,0.626793
2290,1.354895,0.573733
2300,1.392659,0.561204
2310,1.337516,0.590385
2320,1.420408,0.855988
2330,1.329009,0.809670
2340,1.323641,0.795393
2350,1.387000,0.560880
2360,1.235490,0.615949
2370,1.321776,0.872687
2380,1.339505,0.838256
2390,1.368895,0.526021
2400,1.357283,0.777876
2410,1.306579,0.620452
2420,1.341179,0.536263
2430,1.341645,0.816769
2440,1.306040,0.632788
2450,1.254457,0.557761
2460,1.296239,0.549005
2470,1.328502,0.568218
2480,1.316519,0.483609
2490,1.342868,0.558700
2500,1.242813,0.820652
2510,1.396855,0.947896
2520,1.279766,0.802029
2530,1.364563,0.532275
2540,1.326222,0.727964
2550,1.291834,0.565930
2560,1.318509,0.611809
2570,1.285685,0.608331
2580,1.335705,0.582681
2590,1.301785,0.590527
2600,1.334877,0.561051
2610,1.352323,0.552181
2620,1.305327,0.580556
2630,1.348541,0.792612
2640,1.294863,0.848435
2650,1.254787,0.523411
2660,1.336141,0.594908
2670,1.270713,0.801741
2680,1.326114,0.570698
2690,1.283916,0.603580
2700,1.357412,0.646487
2710,1.325095,0.497469
2720,1.325767,0.703964
2730,1.291460,0.606691
2740,1.276788,0.507077
2750,1.263670,0.554248
2760,1.292120,0.641725
2770,1.315201,0.527143
2780,1.266456,0.805096
2790,1.324850,0.570653
2800,1.331816,0.545667
2810,1.385247,0.552287
2820,1.253271,0.480851
2830,1.307136,0.540054
2840,1.342116,0.648218
2850,1.451609,0.617152
2860,1.308314,0.916701
2870,1.308673,0.537404
2880,1.349185,0.618558
2890,1.346427,0.623121
2900,1.322055,0.459653
2910,1.272356,0.431721
2920,1.343543,0.551309
2930,1.341789,0.603730
2940,1.307539,0.607487
2950,1.331992,0.615197
2960,1.198144,0.434701
2970,1.247758,0.565168
2980,1.342003,0.655953
2990,1.332668,0.809063
3000,1.228321,0.530102
3010,1.293752,0.606940
3020,1.340962,0.547634
3030,1.324695,0.663336
3040,1.347209,0.572288
3050,1.334672,0.572504
3060,1.263799,0.420604
3070,1.294203,0.578335
3080,1.322018,0.561946
3090,1.339050,0.964440
3100,1.257382,0.514066
3110,1.340610,0.537994
3120,1.332170,0.712339
3130,1.152164,0.440331
3140,1.349588,0.558628
3150,1.267556,0.419951
3160,1.342867,0.610204
3170,1.198556,0.531322
3180,1.220795,0.710061
3190,1.310170,0.550043
3200,1.317011,0.991258
3210,1.319060,0.606269
3220,1.280785,0.445264
3230,1.321395,0.627133
3240,1.333072,0.540700
3250,1.326044,0.684219
3260,1.256812,0.720305
3270,1.331818,0.627905
3280,1.188277,0.518559
3290,1.262349,0.721416
3300,1.385778,0.582802
3310,1.331461,0.677651
3320,1.339863,0.646321
3330,1.327371,0.643715
3340,1.290235,0.431724
3350,1.329329,0.630482
3360,1.305339,0.593137
3370,1.289450,0.623401
3380,1.296081,0.845772
3390,1.313160,0.625576
3400,1.346786,0.667785
3410,1.248877,0.620919
3420,1.318403,0.665063
3430,1.235379,0.669301
3440,1.317957,0.609636
3450,1.273864,0.517191
3460,1.313335,0.578788
3470,1.291166,0.654945
3480,1.324195,0.822793
3490,1.330262,0.589623
3500,1.337273,0.482039
3510,1.374428,0.474380
3520,1.308088,0.903671
3530,1.311205,0.642012
3540,1.290898,0.773287
3550,1.381829,0.570990
3560,1.298533,0.936959
3570,1.281848,0.744764
3580,1.203444,0.764281
3590,1.297369,0.571925
3600,1.305744,0.765176
3610,1.326859,0.700112
3620,1.304157,0.669006
3630,1.336372,0.595710
3640,1.347923,0.867195
3650,1.265988,0.727433
3660,1.342633,0.798106
3670,1.350891,0.835871
3680,1.276604,0.716321
3690,1.324841,0.469208
3700,1.275012,0.815434
3710,1.322341,0.718582
3720,1.313416,0.756700
3730,1.339400,0.872718
3740,1.330245,0.818546
3750,1.320255,0.731251
3760,1.274310,0.840545
3770,1.330228,0.806685
3780,1.298106,0.565708
3790,1.385693,0.823682
3800,1.237650,0.741523
3810,1.325347,0.664164
3820,1.331645,0.827607
3830,1.266358,0.776517
3840,1.312982,0.772400
3850,1.318212,0.540900
3860,1.310737,0.767062
3870,1.347942,0.532937
3880,1.291684,0.742418
3890,1.305608,0.756581
3900,1.339505,0.590406
3910,1.302902,0.568132
3920,1.293582,0.796229
3930,1.331614,0.634281
3940,1.324985,0.556042
3950,1.290483,0.768884
3960,1.366843,0.611245
3970,1.336783,0.766814
3980,1.285091,0.764325
3990,1.307036,0.740253
4000,1.345550,1.022246
4010,1.299561,0.618210
4020,1.306299,0.649878
4030,1.320722,0.979299
4040,1.311936,0.819050
4050,1.326158,0.592680
4060,1.341944,0.727614
4070,1.310975,0.639960
4080,1.320090,0.669263
4090,1.344570,0.860867
4100,1.310473,0.764906
4110,1.268170,0.873335
4120,1.297825,0.757828
4130,1.302106,0.830016
4140,1.301919,0.607848
4150,1.311580,0.813608
4160,1.332811,0.802956
4170,1.408885,0.758380
4180,1.301916,0.682484
4190,1.332201,0.601308
4200,1.372205,0.618577
4210,1.328423,0.595328
4220,1.267602,0.601697
4230,1.338437,0.629029
4240,1.353984,0.651832
4250,1.319469,0.894122
4260,1.330301,0.714079
4270,1.343320,0.751176
4280,1.262176,0.650570
4290,1.237093,0.605207
4300,1.321232,0.786555
4310,1.361431,0.934898
4320,1.295108,0.580233
4330,1.247867,0.644796
4340,1.394321,0.455956
4350,1.204399,0.909872
4360,1.223135,0.783287
4370,1.236730,0.533177
4380,1.218748,0.729546
4390,1.370518,0.624040
4400,1.276739,0.649243
4410,1.368184,0.549383
4420,1.258313,0.763245
4430,1.299771,0.927941
4440,1.288629,0.546858
4450,1.218393,0.689389
4460,1.315061,0.715116
4470,1.305763,0.924795
4480,1.251296,0.605134
4490,1.280092,0.711636
4500,1.346745,0.543917
4510,1.259341,0.594970
4520,1.329417,0.598733
4530,1.295300,0.776546
4540,1.316882,0.681226
4550,1.277244,0.526599
4560,1.333005,1.017219
4570,1.320737,0.552710
4580,1.337093,0.760614
4590,1.306354,0.508681
4600,1.272444,0.541954
4610,1.308699,0.555807
4620,1.219308,0.688850
4630,1.230492,0.796330
4640,1.261683,0.682849
4650,1.364427,0.668679
4660,1.336400,0.682214
4670,1.248603,0.617023
4680,1.392146,0.744555
4690,1.328161,0.574929
4700,1.353346,0.562880
4710,1.247477,0.578532
4720,1.355857,0.747452
4730,1.328749,0.715371
4740,1.220703,1.032306
4750,1.308936,0.712763
4760,1.260461,0.592089
4770,1.310754,0.528118
4780,1.225309,0.722194
4790,1.300626,0.803350
4800,1.233754,0.851643
4810,1.279769,0.496322
4820,1.345738,0.655565
4830,1.322834,0.575435
4840,1.261546,0.757002
4850,1.321473,0.921245
4860,1.312682,0.632393
4870,1.258286,0.734881
4880,1.342589,0.881089
4890,1.259133,0.628709
4900,1.242924,0.763336
4910,1.224675,0.799124
4920,1.363070,0.649962
4930,1.324646,0.729476
4940,1.281205,0.693988
4950,1.188062,0.759271
4960,1.335072,0.592553
4970,1.260339,0.619045
4980,1.276795,0.547964
4990,1.304091,0.713731
5000,1.308564,0.742077
5010,1.388106,0.599170
5020,1.329185,0.765043
5030,1.224225,0.709565
5040,1.319153,0.709927
5050,1.307423,0.492492
5060,1.348186,0.578382
5070,1.312159,0.615834
5080,1.237002,0.596746
5090,1.311789,0.548808
5100,1.340811,0.524623
5110,1.284801,0.707533
5120,1.359513,0.604778
5130,1.259250,0.883851
5140,1.276419,0.811273
5150,1.344012,0.671319
5160,1.303085,0.723452
5170,1.267426,0.624958
5180,1.325577,0.614688
5190,1.283002,0.924616
5200,1.373134,0.742709
5210,1.252081,0.797422
5220,1.315000,0.693974
5230,1.281030,0.600754
5240,1.354966,0.705153
5250,1.480093,0.931336
5260,1.272741,0.614321
5270,1.390558,0.796452
5280,1.293121,0.680005
5290,1.321905,0.670768
5300,1.320372,0.574940
5310,1.277149,0.859844
5320,1.242887,0.659520
5330,1.303016,0.684028
5340,1.297825,0.616313
5350,1.335582,0.772783
5360,1.295730,0.717322
5370,1.238381,0.859001
5380,1.269814,0.970360
5390,1.198592,0.766440
5400,1.292747,0.544768
5410,1.307157,0.650839
5420,1.353657,0.637713
5430,1.252065,0.759751
5440,1.252812,0.778796
5450,1.396701,0.592563
5460,1.283081,0.794581
5470,1.309082,0.703143
5480,1.303281,0.769403
5490,1.336448,0.428297
5500,1.222115,0.700127
5510,1.280644,0.783238
5520,1.253602,0.728246
5530,1.325450,0.683214
5540,1.262142,0.597295
5550,1.300895,0.750432
5560,1.218827,0.691277
5570,1.351447,0.640744
5580,1.249228,0.667093
5590,1.372539,1.003431
5600,1.297831,0.736696
5610,1.214707,0.921689
5620,1.233739,0.679221
5630,1.282648,0.580065
5640,1.316999,0.723818
5650,1.367154,0.641987
5660,1.279129,0.736289
5670,1.238941,0.726249
5680,1.272239,0.703867
5690,1.453220,0.886863
5700,1.161429,0.667965
5710,1.250314,0.636750
5720,1.312798,0.778908
5730,1.231815,0.629373
5740,1.304272,0.710977
5750,1.282102,0.785750
5760,1.308854,0.692902
5770,1.241117,0.630616
5780,1.249105,0.749339
5790,1.248400,0.719468
5800,1.208676,0.713172
5810,1.240395,0.704892
5820,1.313651,0.614264
5830,1.297348,0.723379
5840,1.281573,0.560095
5850,1.238520,0.749688
5860,1.278289,0.551328
5870,1.361063,0.491871
5880,1.190864,0.486022
5890,1.280307,0.553790
5900,1.308805,0.657950
5910,1.271220,0.750104
5920,1.263981,0.915622
5930,1.302373,0.702178
5940,1.319110,0.624888
5950,1.256833,0.758592
5960,1.236708,0.766563
5970,1.373383,0.628187
5980,1.281514,0.745311
5990,1.262279,0.746345
6000,1.260299,0.870381
6010,1.345872,0.813557
6020,1.312670,0.624917
6030,1.322487,0.622675
6040,1.333895,0.835518
6050,1.305401,0.834211
6060,1.342202,0.783516
6070,1.196901,0.528983
6080,1.308215,0.799896
6090,1.174721,0.595674
6100,1.293928,0.721866
6110,1.178749,0.744300
6120,1.324090,0.587353
6130,1.246064,0.772458
6140,1.342838,0.908523
6150,1.276448,0.542495
6160,1.233413,0.918592
6170,1.277371,0.704048
6180,1.294321,0.926604
6190,1.288529,0.481707
6200,1.283445,0.749348
6210,1.380518,0.588802
6220,1.347461,0.487629
6230,1.304774,0.818542
6240,1.450829,0.752259
6250,1.359911,0.626105
6260,1.248619,0.503703
6270,1.346551,0.552038
6280,1.335294,0.771906
6290,1.224727,0.645308
6300,1.193219,0.832791
6310,1.286840,0.612472
6320,1.298953,0.980418
6330,1.265933,0.833571
6340,1.271866,0.698890
6350,1.291090,0.848320
6360,1.240273,0.758219
6370,1.317348,0.806883
6380,1.173938,0.716585
6390,1.288065,0.872098
6400,1.331199,0.664939
6410,1.398978,0.697262
6420,1.307415,0.683076
6430,1.284672,0.626081
6440,1.259163,0.839339
6450,1.322212,0.660780
6460,1.279943,0.822683
6470,1.266106,0.695969
6480,1.202956,0.742231
6490,1.279803,0.671692
6500,1.285374,0.658768
6510,1.188039,0.860688
6520,1.308761,0.688751
6530,1.276352,0.741616
6540,1.249523,0.807216
6550,1.255712,0.868964
6560,1.188879,0.780779
6570,1.271566,0.970610
6580,1.242449,0.662670
6590,1.359958,0.688588
6600,1.325495,0.623471
6610,1.287736,0.771365
6620,1.293410,0.633045
6630,1.304319,0.719935
6640,1.329133,0.659683
6650,1.241565,0.718826
6660,1.316170,0.795979
6670,1.312336,0.693407
6680,1.281098,0.875428
6690,1.188292,0.633315
6700,1.260849,0.771945
6710,1.300499,0.809393
6720,1.338886,0.968346
6730,1.202385,0.594751
6740,1.280683,0.656330
6750,1.227982,0.797208
6760,1.293791,0.634660
6770,1.251604,0.757515
6780,1.293448,0.531866
6790,1.405170,0.806460
6800,1.330116,0.542624
6810,1.306029,0.786503
6820,1.293208,0.904168
6830,1.307582,0.865019
6840,1.326217,0.835636
6850,1.252655,0.552769
6860,1.212495,0.623262
6870,1.266116,0.759090
6880,1.302521,0.684847
6890,1.315602,0.716015
6900,1.321932,0.693845
6910,1.200803,0.733937
6920,1.309344,0.790685
6930,1.360979,0.772786
6940,1.475387,0.762895
6950,1.255268,0.803842
6960,1.295425,0.912026
6970,1.194546,0.736902
6980,1.339796,0.932456
6990,1.357567,0.580155
7000,1.280370,0.818039
7010,1.293642,0.531496
7020,1.261445,0.799067
7030,1.322888,0.818079
7040,1.227085,0.736198
7050,1.260468,0.806240
7060,1.332297,0.685683
7070,1.227017,0.461918
7080,1.275423,0.815002
7090,1.163218,0.718224
7100,1.236920,0.539841
7110,1.267907,0.560948
7120,1.288114,0.655169
7130,1.267530,0.757144
7140,1.292698,0.750076
7150,1.227670,0.714364
7160,1.333000,0.625799
7170,1.246349,0.778371
7180,1.185498,0.666875
7190,1.221724,0.586038
7200,1.339101,0.615854
7210,1.358908,0.480298
7220,1.185224,0.731742
7230,1.298328,0.807157
7240,1.306499,0.501689
7250,1.336674,0.685822
7260,1.268624,0.750757
7270,1.296603,0.645301
7280,1.419297,0.475333
7290,1.251405,0.853410
7300,1.369548,0.673188
7310,1.295264,0.852961
7320,1.309577,0.711998
7330,1.262517,0.801720
7340,1.326116,0.748297
7350,1.225084,0.792916
7360,1.175638,0.623599
7370,1.269471,0.716167
7380,1.274429,0.746942
7390,1.288411,0.821204
7400,1.311465,0.618726
7410,1.295307,0.733426
7420,1.244708,0.814688
7430,1.320561,0.536429
7440,1.234940,0.611452
7450,1.283713,0.697327
7460,1.300346,0.576712
7470,1.377128,0.615136
7480,1.471710,0.670656
7490,1.226740,0.741465
7500,1.280549,0.929407
7510,1.427105,0.640802
7520,1.350421,0.786276
7530,1.255929,0.746121
7540,1.290118,0.577143
7550,1.228315,0.649206
7560,1.312084,0.700900
7570,1.221378,0.686934
7580,1.302099,0.591252
7590,1.302203,0.850592
7600,1.330485,0.792254
7610,1.362651,0.598633
7620,1.403042,0.556419
7630,1.308115,0.836261
7640,1.313207,0.727668
7650,1.280702,0.816115
7660,1.343737,0.672040
7670,1.294850,0.814061
7680,1.286057,0.781683
7690,1.494164,0.393629
7700,1.351386,0.694745
7710,1.211944,0.599351
7720,1.387557,0.554307
7730,1.345569,1.041943
7740,1.286790,0.732559
7750,1.279328,0.879416
7760,1.193927,0.820023
7770,1.233794,0.549578
7780,1.176018,0.571233
7790,1.329221,0.644051
7800,1.345887,0.550930
7810,1.284684,0.635059
7820,1.386883,0.610443
7830,1.373535,0.573368
7840,1.308093,0.760548
7850,1.366589,0.562166
7860,1.340658,0.656761
7870,1.252318,0.794364
7880,1.345608,0.454721
7890,1.325361,0.774263
7900,1.288047,0.619603
7910,1.372586,0.753129
7920,1.234118,0.637099
7930,1.243697,0.620167
7940,1.297582,0.722243
7950,1.259985,0.586441
7960,1.242244,0.852771
7970,1.209179,0.674400
7980,1.288018,0.700845
7990,1.247085,0.640538
8000,1.296352,0.716786
8010,1.174153,0.630901
8020,1.283543,0.856739
8030,1.260607,0.683532
8040,1.301429,0.749050
8050,1.235978,0.613021
8060,1.199238,0.710478
8070,1.270035,0.735729
8080,1.358983,0.847756
8090,1.369128,0.719462
8100,1.267394,0.720237
8110,1.270209,0.806384
8120,1.344243,0.598664
8130,1.303540,0.809607
8140,1.213845,0.749096
8150,1.274557,0.541374
8160,1.181215,0.606024
8170,1.290071,0.639292
8180,1.348292,0.681751
8190,1.143087,0.520329
8200,1.289379,0.715900
8210,1.197533,0.484128
8220,1.338028,0.732709
8230,1.268865,0.747339
8240,1.261713,0.703317
8250,1.366150,0.754379
8260,1.416119,0.941088
8270,1.287334,0.828600
8280,1.206720,0.697521
8290,1.433040,0.745321
8300,1.265021,0.641986
8310,1.297367,0.566135
8320,1.309135,0.515488
8330,1.298772,0.897036
8340,1.314873,0.847834
8350,1.264266,0.632118
8360,1.230355,0.791038
8370,1.285741,0.721933
8380,1.274303,0.576971
8390,1.281131,0.834788
8400,1.318739,0.936999
8410,1.223504,0.666491
8420,1.308774,0.567951
8430,1.306112,0.660410
8440,1.197441,0.586893
8450,1.178826,0.624254
8460,1.337187,0.578770
8470,1.213241,0.770906
8480,1.294212,0.746143
8490,1.272369,0.468100
8500,1.288342,0.732444
8510,1.350817,0.749731
8520,1.264252,0.505008
8530,1.160939,0.691397
8540,1.279186,0.725347
8550,1.201547,0.764427
8560,1.377161,0.776167
8570,1.257269,0.640199
8580,1.214529,0.679368
8590,1.225937,0.756817
8600,1.335791,0.849839
8610,1.331717,0.791274
8620,1.342259,0.543106
8630,1.299970,0.698858
8640,1.248773,0.799293
8650,1.368222,0.555914
8660,1.205915,0.731956
8670,1.299893,0.858998
8680,1.339512,0.558433
8690,1.349783,0.559961
8700,1.250770,0.572706
8710,1.240639,0.690903
8720,1.215360,0.631093
8730,1.183747,0.725545
8740,1.334445,0.675356
8750,1.269112,0.495416
8760,1.354274,0.682538
8770,1.333305,0.770277
8780,1.277484,0.724339
8790,1.345822,0.925850
8800,1.152665,0.599163
8810,1.253604,0.608695
8820,1.259325,0.712000
8830,1.333702,0.380343
8840,1.346919,0.711766
8850,1.335200,0.569426
8860,1.203918,0.511743
8870,1.350755,0.645873
8880,1.217927,0.709031
8890,1.314639,0.596246
8900,1.277761,0.515383
8910,1.452971,0.709653
8920,1.367071,0.693854
8930,1.275357,0.772915
8940,1.297433,0.815248
8950,1.236903,0.762656
8960,1.235554,0.690716
8970,1.198032,0.723005
8980,1.253644,0.778264
8990,1.326873,0.868941
9000,1.219397,0.762052
9010,1.296289,0.638212
9020,1.228826,0.689421
9030,1.247243,0.727394
9040,1.295472,0.602023
9050,1.295867,0.743536
9060,1.265397,0.802468
9070,1.434749,0.914016
9080,1.310300,0.550932
9090,1.295079,0.693229
9100,1.317452,0.719228
9110,1.223778,0.649750
9120,1.278287,0.633341
9130,1.282326,0.531350
9140,1.286208,0.524571
9150,1.349987,0.613287
9160,1.317546,0.657657
9170,1.397325,0.678270
9180,1.239100,0.619223
9190,1.258322,0.819280
9200,1.523065,0.729780
9210,1.255989,0.643937
9220,1.314058,0.771165
9230,1.265367,0.702620
9240,1.219402,0.592909
9250,1.317679,0.826501
9260,1.320412,0.582003
9270,1.268851,0.718672
9280,1.454565,0.718142
9290,1.263643,0.542910
9300,1.212683,0.824952
9310,1.319910,0.806362
9320,1.226104,0.855169
9330,1.248208,0.861003
9340,1.272816,0.722728
9350,1.346957,0.601921
9360,1.279317,0.637281
9370,1.346280,0.850321
9380,1.295436,0.529323
9390,1.242567,0.685582
9400,1.380132,0.752736
9410,1.306587,0.801506
9420,1.288616,0.712049
9430,1.174319,0.712771
9440,1.322143,0.761770
9450,1.306325,0.583502
9460,1.280655,0.650981
9470,1.343425,0.754144
9480,1.267764,0.617066
9490,1.311630,0.826111
9500,1.303707,0.708624
9510,1.343745,0.787890
9520,1.241107,0.952658
9530,1.306581,0.601134
9540,1.318488,0.734265
9550,1.251234,0.503003
9560,1.320848,0.792809
9570,1.344260,0.827878
9580,1.301648,0.692806
9590,1.301144,0.620831
9600,1.299690,0.802516
9610,1.288438,0.640080
9620,1.326023,0.794525
9630,1.339813,0.725420
9640,1.314213,0.892856
9650,1.244733,0.751158
9660,1.217873,0.720645
9670,1.227678,0.666557
9680,1.282881,0.767596
9690,1.199524,0.741165
9700,1.282261,0.733264
9710,1.302166,0.727558
9720,1.218473,0.602068
9730,1.294183,0.799907
9740,1.419564,0.746827
9750,1.239933,0.641184
9760,1.365943,0.499991
9770,1.292016,0.488847
9780,1.367128,0.441286
9790,1.272605,0.540301
9800,1.194041,0.671168
9810,1.243415,0.575427
9820,1.342697,0.786645
9830,1.239584,0.614660
9840,1.241228,0.722889
9850,1.346783,0.774143
9860,1.229738,0.683389
9870,1.283517,0.472204
9880,1.259802,0.727904
9890,1.422400,0.585201
9900,1.312168,0.545090
9910,1.345880,0.600452
9920,1.331666,0.796325
9930,1.229583,0.785930
9940,1.342011,0.513984
9950,1.281052,0.782131
9960,1.298811,0.687777
9970,1.312933,0.816593
9980,1.333383,0.856868
9990,1.250850,0.873676
10000,1.241052,0.749592
